City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
Natal,UberX,COMPLETED,2021-09-02 14:49:19 +0000 UTC,2021-09-02 14:52:07 +0000 UTC,-5.793543,-35.20192,2021-09-02 15:09:20 +0000 UTC,-5.842226,-35.205715,4.34,12.95,BRL
Natal,UberX,COMPLETED,2021-09-02 14:23:13 +0000 UTC,2021-09-02 14:26:05 +0000 UTC,-5.842153,-35.205673,2021-09-02 14:38:12 +0000 UTC,-5.793458,-35.201866,4.23,10.98,BRL
Natal,UberX,COMPLETED,2021-08-30 17:26:56 +0000 UTC,2021-08-30 17:30:54 +0000 UTC,-5.826548,-35.227272,2021-08-30 17:41:35 +0000 UTC,-5.8422513,-35.205704,2.35,10.9,BRL
Natal,UberX,COMPLETED,2021-08-30 16:19:44 +0000 UTC,2021-08-30 16:24:54 +0000 UTC,-5.8421865,-35.20562,2021-08-30 16:35:42 +0000 UTC,-5.8266644,-35.22727,2.44,8.99,BRL
Natal,UberX,COMPLETED,2021-08-29 23:15:44 +0000 UTC,2021-08-29 23:25:43 +0000 UTC,-5.846493,-35.24115,2021-08-29 23:39:25 +0000 UTC,-5.84221,-35.20564,5.25,14.9,BRL
Natal,UberX,COMPLETED,2021-08-29 14:25:46 +0000 UTC,2021-08-29 14:37:55 +0000 UTC,-5.842195,-35.205635,2021-08-29 14:51:26 +0000 UTC,-5.8464746,-35.24116,5.11,10.92,BRL
Natal,UberX,COMPLETED,2021-08-28 22:57:03 +0000 UTC,2021-08-28 23:03:47 +0000 UTC,-5.8451405,-35.242638,2021-08-28 23:20:01 +0000 UTC,-5.8422604,-35.20572,5.34,19.97,BRL
Natal,UberX,COMPLETED,2021-08-28 14:46:30 +0000 UTC,2021-08-28 14:51:39 +0000 UTC,-5.84221,-35.20571,2021-08-28 15:08:12 +0000 UTC,-5.84514,-35.24264,5.42,10.97,BRL
Natal,UberX,COMPLETED,2021-08-26 10:08:40 +0000 UTC,2021-08-26 10:15:28 +0000 UTC,-5.8464804,-35.24121,2021-08-26 10:34:12 +0000 UTC,-5.8422217,-35.205673,5.79,11.95,BRL
Natal,UberX,COMPLETED,2021-08-25 19:48:13 +0000 UTC,2021-08-25 19:50:14 +0000 UTC,-5.842181,-35.20563,2021-08-25 20:05:52 +0000 UTC,-5.846536,-35.241062,4.63,10.93,BRL
Natal,UberX,COMPLETED,2021-08-23 19:27:46 +0000 UTC,2021-08-23 19:33:24 +0000 UTC,-5.7905264,-35.198887,2021-08-23 19:48:24 +0000 UTC,-5.8422136,-35.20565,4.62,15.93,BRL
Natal,UberX,COMPLETED,2021-08-23 17:34:00 +0000 UTC,2021-08-23 17:37:10 +0000 UTC,-5.8422149999999995,-35.205666,2021-08-23 17:51:50 +0000 UTC,-5.790546,-35.198788,4.33,12.98,BRL
Natal,UberX,COMPLETED,2021-08-20 10:32:00 +0000 UTC,2021-08-20 10:38:06 +0000 UTC,-5.842249,-35.205757,2021-08-20 10:48:44 +0000 UTC,-5.826611,-35.227234,2.45,8.98,BRL
